Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Gift Card,Status
thock-model-65,THOCK Model 65,"<p>A 65% gasket-mounted keyboard machined from a single billet of 6063 aluminium. Five layers of foam, a polycarbonate plate, and a flex-cut PCB tuned for one thing: the sound.</p><p>Hot-swappable. QMK/VIA ready. South-facing RGB. USB-C with a detachable coiled cable.</p>",THOCK,Keyboard,"flagship,65-percent,hot-swap,gasket-mount",TRUE,Colorway,Obsidian,Switch,Nocturne Linear 45g,TH-M65-OBS-LIN,1180,,0,deny,manual,249.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Obsidian,,Copper Tactile 55g,TH-M65-OBS-TAC,1180,,0,deny,manual,249.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Obsidian,,Sky Clicky 60g,TH-M65-OBS-CLK,1180,,0,deny,manual,249.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Milk Tea,,Nocturne Linear 45g,TH-M65-MLK-LIN,1180,,0,deny,manual,249.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Milk Tea,,Copper Tactile 55g,TH-M65-MLK-TAC,1180,,0,deny,manual,249.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Milk Tea,,Sky Clicky 60g,TH-M65-MLK-CLK,1180,,0,deny,manual,249.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Botanical,,Nocturne Linear 45g,TH-M65-BOT-LIN,1180,,0,deny,manual,279.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Botanical,,Copper Tactile 55g,TH-M65-BOT-TAC,1180,,0,deny,manual,279.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Botanical,,Sky Clicky 60g,TH-M65-BOT-CLK,1180,,0,deny,manual,279.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Ember,,Nocturne Linear 45g,TH-M65-EMB-LIN,1180,,0,deny,manual,269.00,299.00,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Ember,,Copper Tactile 55g,TH-M65-EMB-TAC,1180,,0,deny,manual,269.00,299.00,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Ember,,Sky Clicky 60g,TH-M65-EMB-CLK,1180,,0,deny,manual,269.00,299.00,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Arctic,,Nocturne Linear 45g,TH-M65-ARC-LIN,1180,,0,deny,manual,249.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Arctic,,Copper Tactile 55g,TH-M65-ARC-TAC,1180,,0,deny,manual,249.00,,TRUE,TRUE,g,FALSE,active
thock-model-65,,,,,,,,Arctic,,Sky Clicky 60g,TH-M65-ARC-CLK,1180,,0,deny,manual,249.00,,TRUE,TRUE,g,FALSE,active
thock-model-75,THOCK Model 75,"<p>The Model 65 with a function row and a rotary encoder. Same billet aluminium case, same gasket mount, same obsessive foam stack — 12 more keys.</p><p>Hot-swappable. QMK/VIA ready. Knob mapped to volume out of the box.</p>",THOCK,Keyboard,"75-percent,hot-swap,gasket-mount,knob",TRUE,Colorway,Obsidian,Switch,Nocturne Linear 45g,TH-M75-OBS-LIN,1420,,0,deny,manual,299.00,,TRUE,TRUE,g,FALSE,active
thock-model-75,,,,,,,,Obsidian,,Copper Tactile 55g,TH-M75-OBS-TAC,1420,,0,deny,manual,299.00,,TRUE,TRUE,g,FALSE,active
thock-model-75,,,,,,,,Obsidian,,Sky Clicky 60g,TH-M75-OBS-CLK,1420,,0,deny,manual,299.00,,TRUE,TRUE,g,FALSE,active
thock-model-75,,,,,,,,Milk Tea,,Nocturne Linear 45g,TH-M75-MLK-LIN,1420,,0,deny,manual,299.00,,TRUE,TRUE,g,FALSE,active
thock-model-75,,,,,,,,Milk Tea,,Copper Tactile 55g,TH-M75-MLK-TAC,1420,,0,deny,manual,299.00,,TRUE,TRUE,g,FALSE,active
thock-model-75,,,,,,,,Milk Tea,,Sky Clicky 60g,TH-M75-MLK-CLK,1420,,0,deny,manual,299.00,,TRUE,TRUE,g,FALSE,active
thock-model-75,,,,,,,,Arctic,,Nocturne Linear 45g,TH-M75-ARC-LIN,1420,,0,deny,manual,309.00,,TRUE,TRUE,g,FALSE,active
thock-model-75,,,,,,,,Arctic,,Copper Tactile 55g,TH-M75-ARC-TAC,1420,,0,deny,manual,309.00,,TRUE,TRUE,g,FALSE,active
thock-model-75,,,,,,,,Arctic,,Sky Clicky 60g,TH-M75-ARC-CLK,1420,,0,deny,manual,309.00,,TRUE,TRUE,g,FALSE,active
thock-switches-nocturne-linear,Nocturne Linear 45g Switches,"<p>Factory-lubed linear. 45g bottom-out, 3.4mm travel, POM stem in a nylon housing. Deep and muted — the switch we voice the Model 65 around.</p>",THOCK,Switches,"switches,linear,factory-lubed",TRUE,Pack Size,35 switches,,,TH-SW-NOC-35,120,,0,deny,manual,21.00,,TRUE,TRUE,g,FALSE,active
thock-switches-nocturne-linear,,,,,,,,70 switches,,,TH-SW-NOC-70,240,,0,deny,manual,39.00,,TRUE,TRUE,g,FALSE,active
thock-switches-nocturne-linear,,,,,,,,110 switches,,,TH-SW-NOC-110,375,,0,deny,manual,59.00,,TRUE,TRUE,g,FALSE,active
thock-switches-copper-tactile,Copper Tactile 55g Switches,"<p>A rounded tactile bump right at the top of the stroke, then a clean drop. 55g bottom-out. For people who want to feel the actuation without announcing it to the room.</p>",THOCK,Switches,"switches,tactile,factory-lubed",TRUE,Pack Size,35 switches,,,TH-SW-COP-35,120,,0,deny,manual,23.00,,TRUE,TRUE,g,FALSE,active
thock-switches-copper-tactile,,,,,,,,70 switches,,,TH-SW-COP-70,240,,0,deny,manual,43.00,,TRUE,TRUE,g,FALSE,active
thock-switches-copper-tactile,,,,,,,,110 switches,,,TH-SW-COP-110,375,,0,deny,manual,65.00,,TRUE,TRUE,g,FALSE,active
thock-switches-sky-clicky,Sky Clicky 60g Switches,"<p>A click-bar mechanism, not a click jacket — sharper, more consistent, and it resets with the same sound it fires with. 60g. Unapologetically loud.</p>",THOCK,Switches,"switches,clicky",TRUE,Pack Size,35 switches,,,TH-SW-SKY-35,125,,0,deny,manual,22.00,,TRUE,TRUE,g,FALSE,active
